pvals_adj,fc,AUROC,cluster,Gene,cell_type
3.7574524469164573e-137,0.7869004,0.945580078125,NK-cell0,NKAIN2,NK-cell
1.5486515279431565e-136,0.79807603,0.944478515625,NK-cell0,AC109466.1,NK-cell
3.725879293290953e-136,0.7977374,0.943767578125,NK-cell0,USH2A,NK-cell
4.282573125210678e-136,0.78778523,0.943626953125,NK-cell0,CSMD3,NK-cell
7.363852996250388e-135,0.78677773,0.941505859375,NK-cell0,AL157944.1,NK-cell
2.198396739812176e-134,0.7997334,0.9406484374999999,NK-cell0,AC099520.1,NK-cell
1.2302612203726053e-133,0.7963732,0.939310546875,NK-cell0,MGAT4C,NK-cell
2.18763170614455e-133,0.7918051,0.9388496093750001,NK-cell0,WDFY4,NK-cell
2.897015635490201e-133,0.78333783,0.93861328125,NK-cell0,LINC01170,NK-cell
3.0351732812006944e-133,0.7830947,0.938568359375,NK-cell0,KHDRBS2,NK-cell
3.59871275475044e-133,0.7927933,0.9384355468750001,NK-cell0,MSR1,NK-cell
3.620171393638946e-133,0.78519154,0.938419921875,NK-cell0,ADGRB3,NK-cell
6.764610888944662e-133,0.7985056,0.93794140625,NK-cell0,AL110292.1,NK-cell
2.839663370105762e-132,0.7840663,0.9368388671875,NK-cell0,LINC00871,NK-cell
2.839663370105762e-132,0.75797117,0.9368359374999999,NK-cell0,AL445255.1,NK-cell
1.9975322425797367e-131,0.79718626,0.935357421875,NK-cell0,LINC02008,NK-cell
4.2518726776817256e-131,0.7973916,0.9347734375,NK-cell0,ZFPM2-AS1,NK-cell
7.960833161854256e-131,0.79482263,0.934298828125,NK-cell0,FAT3,NK-cell
1.5939614583345858e-129,0.7985422,0.932029296875,NK-cell0,SPOCK3,NK-cell
5.788255662245308e-128,0.41865298,0.9293359375,NK-cell0,AC068775.1,NK-cell
7.921013034566388e-128,0.79618716,0.929078125,NK-cell0,IQCM,NK-cell
2.2359701586606875e-127,0.77937925,0.92827734375,NK-cell0,PPFIA2,NK-cell
3.5467034654580597e-127,0.7985576,0.9279140625,NK-cell0,LINC02267,NK-cell
5.357397254425501e-127,0.79004383,0.92758203125,NK-cell0,AL353595.1,NK-cell
1.371873565802239e-126,0.7987621,0.926865234375,NK-cell0,RALYL,NK-cell
1.3999542491729455e-126,0.7983605,0.926837890625,NK-cell0,LUZP2,NK-cell
5.235849001303602e-126,0.7888096,0.9258466796875,NK-cell0,CD36,NK-cell
5.896400680724535e-125,0.788152,0.92398046875,NK-cell0,AP000561.1,NK-cell
8.46760290947567e-125,0.79705656,0.923685546875,NK-cell0,KCNH8,NK-cell
9.119259753586391e-125,0.76090616,0.923626953125,NK-cell0,AL513166.1,NK-cell
1.0413361818627131e-123,0.79995835,0.921771484375,NK-cell0,PKHD1,NK-cell
1.2681927290250898e-123,0.7954103,0.921607421875,NK-cell0,TRDN,NK-cell
1.9684368588232672e-123,0.79521817,0.9212675781249999,NK-cell0,ZRANB2-AS2,NK-cell
2.362278589383396e-123,0.77640843,0.92112890625,NK-cell0,THSD7A,NK-cell
2.896817001662394e-123,0.7974017,0.9209707031250001,NK-cell0,AL442163.1,NK-cell
5.630724316869029e-123,0.7904608,0.92045703125,NK-cell0,AC061958.1,NK-cell
1.9707512003440991e-122,0.78722835,0.91949609375,NK-cell0,GALNT14,NK-cell
9.304880850349801e-121,0.77612996,0.9165,NK-cell0,AL583808.1,NK-cell
