leiden,condition,pvalue,odds,fdr,-log10(FDR),log2(odds_ratio),celltype
Tc-Naive3,pre,0.0014845782927122959,0.5529113924050633,0.00712597580501902,2.147155656552021,-0.8548797970319753,Tc-Naive
Tc-Naive3,acu,4.681665868624636e-05,1.9647019647019648,0.00038893839523958517,3.4101191820322723,0.9743104795794163,Tc-Naive
Th-Mem5,pre,2.605068928522042e-06,1.9921079958463137,2.961552045056637e-05,4.5284806308493755,0.994295860683402,Th-Mem
Th-Mem5,acu,0.005648746597358426,0.6358554873892297,0.020438758646785935,1.6895454847223643,-0.6532291773602559,Th-Mem
Th-Mem3,pre,0.0015842650555960712,0.6327434355384666,0.00743915765236416,2.1284762375241333,-0.6603074598611249,Th-Mem
Th-Mem4,cro,0.015186537591219178,1.4165550153759778,0.04493550848908688,1.3474103394800714,0.502386633391835,Th-Mem
Th-Naive2,acu,0.016241580611068798,0.6692563817980022,0.047407856918795406,1.3241496766021146,-0.5793691039134539,Th-Naive
Th-Naive3,acu,0.00010495175218256666,2.0192232055063912,0.0007817096024632551,3.106954553168646,1.0138003954036914,Th-Naive
Th-Naive4,pre,0.00016038132295641592,0.43227229751024265,0.0011547455252861945,2.93751371199744,-1.2099877118693658,Th-Naive
Th-Naive4,acu,4.5537206490924004e-05,2.202797202797203,0.00038893839523958517,3.4101191820322723,1.1393366816088895,Th-Naive
Th-Naive5,acu,0.0013812603414335815,1.9694415173867228,0.006938424040689619,2.1587391618441925,0.9777865767240486,Th-Naive
