feature,DMR,pvalue,odds_ratio,effect_size,fdr,-log10(FDR),log2(odds_ratio),exposure,condition
H3K27ac_Monocyte,HIV_acu_eDMR_B-Mem,1.2542585819342825e-20,0.5485359246464923,0.0286245998729848,5.867136289029095e-20,19.23157382334225,-0.866341986360742,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_B-Mem,3.7705178525340926e-05,0.7305897898309777,0.012820505988898973,7.109871345875876e-05,4.148138257818996,-0.4528665030586924,HIV,pre
H3K27ac_Monocyte,HIV_cro_eDMR_B-Mem,0.0013297709226762374,0.8159977952862322,0.009931842576247388,0.0021421059872253827,2.6691590449288185,-0.29336284064882234,HIV,cro
H3K27ac_Monocyte,HIV_cro_eDMR_B-Naive,0.9821418809706618,1.00954093858747,7.040466689601996e-05,0.9907989206100127,0.004014475212331665,0.013699415572385843,HIV,cro
H3K27ac_Monocyte,HIV_pre_eDMR_B-Naive,0.0012635753477185918,1.3750911996008917,0.010134704699561925,0.00203933386303035,2.690511669267246,0.4595273050727179,HIV,pre
H3K27ac_Monocyte,HIV_acu_eDMR_B-Naive,0.3027242109842181,1.129086986780705,0.0032415660258600255,0.3487485107903992,0.45748763821839733,0.17515663807090712,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_Monocyte,1.4214659539288669e-11,1.5236557451522033,0.0210805020404589,4.293229070440351e-11,10.367215938593908,0.6075369770670664,HIV,pre
H3K27ac_Monocyte,HIV_cro_eDMR_Monocyte,2.6642705681737e-06,1.4554636175955478,0.014721410974924269,5.571159817874707e-06,5.254054382910949,0.541478776684652,HIV,cro
H3K27ac_Monocyte,HIV_acu_eDMR_Monocyte,0.0883726702578181,0.8729318069145059,0.005317538620397369,0.1122127394436481,0.9499578350940582,-0.19605913939340278,HIV,acu
H3K27ac_Monocyte,HIV_cro_eDMR_NK-cell1,5.842189070719166e-17,0.6056500802291184,0.025671651041448668,2.3340257799604864e-16,15.63189435136145,-0.7234435905033236,HIV,cro
H3K27ac_Monocyte,HIV_acu_eDMR_NK-cell1,1.151020927152044e-07,0.6380114187626258,0.016518603318236784,2.6914664934690194e-07,6.570011022421613,-0.6483458501373537,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_NK-cell1,2.881749414000381e-17,0.5158354984301277,0.026189882166389126,1.168874669450918e-16,15.932232052810681,-0.9550170358996718,HIV,pre
H3K27ac_Monocyte,HIV_acu_eDMR_NK-cell2,0.21045365312756942,0.917608697821637,0.003892174880511718,0.2500106978046358,0.6020414077354797,-0.12404902846314633,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_NK-cell2,2.786786028344675e-10,1.656522364792341,0.019802895158520777,7.743435987156195e-10,9.111066287490244,0.7281576814492265,HIV,pre
H3K27ac_Monocyte,HIV_cro_eDMR_NK-cell2,0.7569051384587319,0.9682860536665694,0.0009700631192320918,0.7933941660380137,0.1005109972911769,-0.04649477957607219,HIV,cro
H3K27ac_Monocyte,HIV_cro_eDMR_Tc-Mem,1.8150234753760056e-07,0.7150840946960135,0.01611982832849508,4.1785080149907196e-07,6.3789787604555475,-0.48381518045540767,HIV,cro
H3K27ac_Monocyte,HIV_pre_eDMR_Tc-Mem,5.926771635575493e-60,0.5441256992084886,0.047404388733473565,8.719807130903584e-59,58.059493120905806,-0.8779881259914003,HIV,pre
H3K27ac_Monocyte,HIV_acu_eDMR_Tc-Mem,3.3152428186757055e-37,1.8669304755472425,0.0395720279983119,2.7518755423939895e-36,35.56037121159706,0.9006682026306261,HIV,acu
H3K27ac_Monocyte,HIV_acu_eDMR_Tc-Naive,1.7730067547790103e-05,0.7627555062105459,0.013263789395920864,3.4382617178311194e-05,4.463661068229593,-0.39070740546005994,HIV,acu
H3K27ac_Monocyte,HIV_cro_eDMR_Tc-Naive,0.07614213853391243,0.8654589542011051,0.005536961836473449,0.09769255058894143,1.0101385515469623,-0.20846269583237956,HIV,cro
H3K27ac_Monocyte,HIV_pre_eDMR_Tc-Naive,8.848027800166449e-11,1.707894917577219,0.020365548250166,2.53745016691088e-10,9.59560247812233,0.7722192123389805,HIV,pre
H3K27ac_Monocyte,HIV_acu_eDMR_Th-Mem,2.37084692332959e-16,0.5525534137570562,0.025360078632689336,9.187966704449216e-16,15.036780587279818,-0.8558141624417059,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_Th-Mem,0.0023784480942193095,0.8348956274781302,0.009378465997531666,0.003734087519167312,2.4278155073173115,-0.2603322411705826,HIV,pre
H3K27ac_Monocyte,HIV_cro_eDMR_Th-Mem,6.468663311381919e-14,0.5772174647850523,0.023215216268174264,2.2112703660612699e-13,12.655358154160323,-0.7928131429834071,HIV,cro
H3K27ac_Monocyte,HIV_acu_eDMR_Th-Naive,0.006199973545143558,0.8078945555430985,0.008530123880472135,0.009248939561478648,2.0339080585041027,-0.3077610867148361,HIV,acu
H3K27ac_Monocyte,HIV_pre_eDMR_Th-Naive,0.3317455625610862,1.0930170259569851,0.0030423465030519543,0.3786754226307033,0.4217328812067203,0.12831587408611816,HIV,pre
H3K27ac_Monocyte,HIV_cro_eDMR_Th-Naive,1.6569878513444474e-07,1.5583990962135708,0.016433531814041516,3.821843840181467e-07,6.417727062109108,0.6400647458487438,HIV,cro
H3K27ac_Monocyte,MRSA_MSSA_eDMR_B-Mem,3.7966905681850754e-31,0.43876616880716585,0.03569815875246542,2.591241312786314e-30,29.58649214088083,-1.1884758042778927,MRSA,MSSA
