feature,DMR,pvalue,odds_ratio,effect_size,fdr,-log10(FDR),log2(odds_ratio)
H3K27ac_Monocyte,gDMR_B-Mem,0.008760147946959418,1.1155045411935083,0.009146475984264843,0.013180903722050394,1.8800548121969025,0.15769638677256761
H3K27ac_Monocyte,gDMR_B-Naive,3.702137490913146e-13,0.7085728696402576,0.03336095070832514,1.0970968418193835e-12,11.959755035131327,-0.49701186734360414
H3K27ac_Monocyte,gDMR_Monocyte,3.0250167484847065e-16,0.7456455925913517,0.023566934804924482,1.0209431526135885e-15,14.990998439297575,-0.4234380184326474
H3K27ac_Monocyte,gDMR_NK-cell1,0.3823219950238361,0.9580311088872175,0.003500726580105035,0.470401239447049,0.3275315426200454,-0.061855591422114095
H3K27ac_Monocyte,gDMR_NK-cell2,0.0001767243195044251,0.8497244743539163,0.014884503091060848,0.00031692996043967015,3.499036703572125,-0.23493297589756806
H3K27ac_Monocyte,gDMR_Tc-Mem,7.02361500107636e-21,1.2041591692825289,0.02004340663778677,2.7751844638399275e-20,19.556708144445714,0.2680261043543709
H3K27ac_Monocyte,gDMR_Tc-Naive,3.307646141635713e-54,0.6174043613718609,0.044202355288613895,2.143354699779942e-53,52.66890595242517,-0.695712420636412
H3K27ac_Monocyte,gDMR_Th-Mem,2.763498662331442e-07,0.8384612882145388,0.01401176899968416,6.160827293087526e-07,6.210360965644244,-0.25418391883795666
H3K27ac_Monocyte,gDMR_Th-Naive,1.4942679203797772e-127,0.4944987455030171,0.06322781381030187,2.2694194040767863e-126,100.0,-1.0159612338804722
H3K36me3_Monocyte,gDMR_B-Mem,2.6212587330005566e-58,1.6314229721289446,0.05617223590701103,1.7215293841057709e-57,56.7640855600949,0.7061308719832577
H3K36me3_Monocyte,gDMR_B-Naive,1.3862097027902242e-05,1.1714633708468076,0.019954209654493554,2.694791662224196e-05,4.569474805038976,0.22831184491908152
H3K36me3_Monocyte,gDMR_Monocyte,0.21939665837331382,1.0393013819696264,0.0035416302845784637,0.2831067208364364,0.5480498205411775,0.05561407505424881
H3K36me3_Monocyte,gDMR_NK-cell1,2.5902579734285906e-18,1.4230582148043511,0.03497450151480481,9.536858902168902e-18,17.02059464270506,0.5089946811839009
H3K36me3_Monocyte,gDMR_NK-cell2,1.0028209872309145e-10,1.250867055414458,0.025665866870335896,2.6778626362320023e-10,9.572211704342866,0.32292846521414686
H3K36me3_Monocyte,gDMR_Tc-Mem,3.8658926767771105e-09,1.107929484209118,0.012594400394938077,9.585835923028958e-09,8.018370008927892,0.14786606187518178
H3K36me3_Monocyte,gDMR_Tc-Naive,2.485436896462291e-08,0.8706079837915144,0.015893423657948266,5.921187900395458e-08,7.227591156987568,-0.19990484466321176
H3K36me3_Monocyte,gDMR_Th-Mem,4.976196657288659e-08,1.1449748739993415,0.014865900316137496,1.1461761021053499e-07,6.940748650870394,0.1953159393228473
H3K36me3_Monocyte,gDMR_Th-Naive,6.359885123140308e-22,0.7959069499549761,0.025325915217327126,2.6194103134289744e-21,20.58179646686662,-0.3293283207584097
H3K4me1_Monocyte,gDMR_B-Mem,0.4708448474419804,1.0235603186506315,0.0025161685509647027,0.5513990261609698,0.25853400524745684,0.03359612322501916
H3K4me1_Monocyte,gDMR_B-Naive,1.1081272151870448e-26,0.6862924607522845,0.04909136187122969,5.279900260597096e-26,25.27737428138313,-0.5431045888071104
H3K4me1_Monocyte,gDMR_Monocyte,5.860798052216739e-19,0.7955177968260999,0.025649914702693653,2.208021591765376e-18,17.655996684050308,-0.33003388889979
H3K4me1_Monocyte,gDMR_NK-cell1,0.5179698217307543,0.9775357191213511,0.0025905169655331822,0.5965244866377881,0.22437172434333988,-0.03277867547735549
H3K4me1_Monocyte,gDMR_NK-cell2,3.5006860151477164e-08,0.8345342129013391,0.02188665525193086,8.25890001631937e-08,7.083077791499747,-0.26095689877903744
H3K4me1_Monocyte,gDMR_Tc-Mem,4.441098946161474e-20,1.1454358192060623,0.01962301237368854,1.71299530780514e-19,18.766243826641684,0.1958966241535707
H3K4me1_Monocyte,gDMR_Tc-Naive,4.88677649874087e-123,0.5667688856573658,0.0672597381170604,6.785638223965893e-122,100.0,-0.8191675351845988
H3K4me1_Monocyte,gDMR_Th-Mem,7.856604411988989e-27,0.7568143623503708,0.029240035258411137,3.780504697254107e-26,25.422450217993173,-0.401988627384679
H3K4me1_Monocyte,gDMR_Th-Naive,1.2319515788094388e-266,0.4574728281457567,0.0918069062214067,9.978807788356456e-265,100.0,-1.1282420386240577
H3K9me3_Monocyte,gDMR_B-Mem,0.5575940611037866,1.0333733957309723,0.002046204802902705,0.6331558731225241,0.19848936027711936,0.047361647070630467
H3K9me3_Monocyte,gDMR_B-Naive,0.34359739946067425,0.9439868912317093,0.004348391236190545,0.42817522086637866,0.36837846957867143,-0.08316126928998721
H3K9me3_Monocyte,gDMR_Monocyte,0.10589390686460891,0.9240758890946998,0.00466281339630693,0.14497024996112656,0.8387211122708491,-0.11391675804605625
H3K9me3_Monocyte,gDMR_NK-cell1,0.24209305024960412,1.073005332097005,0.004687417120380549,0.31044122010899106,0.5080206183502473,0.10165724531232226
H3K9me3_Monocyte,gDMR_NK-cell2,0.5465535543125152,0.964978011873017,0.0023930606161159346,0.6235329281593482,0.20514060691631364,-0.05143202558764624
H3K9me3_Monocyte,gDMR_Tc-Mem,8.473598627230423e-25,0.7406027259286604,0.021986814079623242,3.848756011994379e-24,23.414679619693437,-0.43322823525559073
